parent,code,label,description,gradeFrom,gradeTo,order
E-PRN,E-PRN-POS,Possessive Pronouns,Identify and use possessive pronouns,4,6,2
E-PRN,E-PRN-DEM,Demonstrative Pronouns,Identify and use demonstrative pronouns,4,6,3
E-PRP,E-PRP-PHN,Phonics,Understand sounds of letters,1,3,1
E-PRP,E-PRP-PRN,Pronunciation,Pronounce words correctly,2,5,2
E-PUN,E-PUN-COM,Comma Usage,Use commas correctly,2,5,1
E-PUN,E-PUN-FUL,Full Stop Usage,Use full stops correctly,2,5,2
E-PUN,E-PUN-QST,Question Mark Usage,Use question marks correctly,3,5,3
E-SEN,E-SEN-FRM,Form Sentences,Make correct sentences,2,4,1
E-SEN,E-SEN-TYP,Sentence Types,"Identify declarative, interrogative, exclamatory sentences",2,4,2
E-SUB,E-SUB-AGR,Subject-Verb Agreement,Ensure subject and verb agree in sentences,4,6,1
E-SUB,E-SUB-ADA,Advanced Agreement,Apply subject-verb agreement with complex subjects,6,8,2
E-SYN,E-SYN-SYN,Synonyms,Identify synonyms for words,5,8,1
E-SYN,E-SYN-ANT,Antonyms,Identify antonyms for words,5,9,2
E-TNS,E-TNS-PRS,Present Tense,Use present tense in sentences,3,5,1
E-TNS,E-TNS-PST,Past Tense,Use past tense in sentences,3,6,2
E-TNS,E-TNS-FUT,Future Tense,Use future tense in sentences,4,7,3
E-VRB,E-VRB-IDF,Identify Verbs,Recognize verbs in sentences,3,5,1
E-VRB,E-VRB-USE,Use Verbs,Use verbs correctly in sentences,4,7,2
E-WRD,E-WRD-FRM,Form Words,Form words from letters,1,2,1
E-WRD,E-WRD-SPL,Spelling,Spell simple words correctly,1,3,2
E-WRD,E-WRD-CLF,Classify Words,"Classify nouns, verbs, adjectives",2,4,3
E-WDC,E-WDC-IDN,Identify Word Classes,"Classify nouns, verbs, adjectives, adverbs",4,6,1
E-WDC,E-WDC-USE,Use Word Classes,Use correct word class in sentences,5,8,2
G-CLM,G-CLM-WTH,Weather,Study weather elements and instruments,6,7,1
G-CLM,G-CLM-CLM,Climate Zones,Identify different climate zones and characteristics,7,9,2
G-CLM,G-CLM-ATM,Atmospheric Phenomena,"Study winds, storms, rainfall patterns",7,10,3
G-ENV,G-ENV-POL,Pollution,Types of pollution and effects on environment,7,9,1
G-ENV,G-ENV-CNS,Conservation,Methods of conserving natural resources and ecosystems,7,10,2
G-HUM,G-HUM-POP,Population,"Study population distribution, density and growth",6,8,1
G-HUM,G-HUM-SET,Settlements,Urban and rural settlements and patterns,6,9,2
G-HUM,G-HUM-MIG,Migration,"Causes, types and effects of migration",7,10,3
G-HUM,G-HUM-CUL,Culture,"Language, religion, and cultural practices",7,10,4
G-HUM,G-HUM-RES,Resource Use,Human use and management of resources,7,10,5
G-PHY,G-PHY-LND,Landforms,"Identify mountains, hills, plains, plateaus and valleys",6,7,1
G-PHY,G-PHY-RIV,Rivers,"Study major rivers, their sources, courses and uses",6,8,2
G-PHY,G-PHY-LAK,Lakes & Oceans,"Identify lakes, seas and oceans and their features",6,8,3
G-PHY,G-PHY-SOL,Soil Types,Identify and classify soil types and uses,7,9,4
G-PHY,G-PHY-MIN,Minerals,Major minerals and their extraction,7,10,5
G-REG,G-REG-CNT,Continents,Identify and locate continents and major countries,6,8,1
G-REG,G-REG-CTR,Countries,"Study countries, capitals and major features",7,10,2
G-REG,G-REG-REG,Regions,"Study physical, cultural and economic regions",7,10,3
G-RES,G-RES-NAT,Natural Resources,Identify renewable and non-renewable resources,7,9,1
G-RES,G-RES-WTR,Water Resources,"Distribution, use and conservation of water",7,10,2
G-RES,G-RES-ENE,Energy Resources,Sources and uses of energy resources,8,10,3
H-ANC,H-ANC-HOM,Hominid Study,Understand early humans and their lifestyle,6,6,1
H-ANC,H-ANC-SET,Settlements,Study early settlements and cities,6,7,2
H-ANC,H-ANC-CUL,Ancient Culture,"Study art, religion and traditions of ancient civilizations",6,7,3
H-CUL,H-CUL-ART,Art & Architecture,"Study cultural heritage, monuments and art",6,10,1
H-CUL,H-CUL-LIT,Literature,Major literary works and authors,7,10,2
H-CUL,H-CUL-TRD,Traditions,"Festivals, customs and traditional practices",6,10,3
H-FRE,H-FRE-LDR,Freedom Leaders,Learn about Indian freedom movement leaders,8,9,1
H-FRE,H-FRE-MVT,Movements,Understand non-violent and armed movements,8,10,2
H-FRE,H-FRE-EVT,Major Events,Key events leading to independence,8,10,3
H-MED,H-MED-KIN,Medieval Kingdoms,Identify major kingdoms and dynasties,7,8,1
H-MED,H-MED-SOC,Medieval Society,Understand social structures and roles,7,8,2
H-MED,H-MED-CUL,Medieval Culture,"Art, architecture and literature of medieval period",7,8,3
H-MOD,H-MOD-IND,Industrial Revolution,Study impact of industrialization,8,9,1
H-MOD,H-MOD-POL,Political Changes,Major political developments in modern period,8,10,2
H-MOD,H-MOD-SOC,Social Reforms,Social and educational reforms,8,10,3
H-REV,H-REV-FRE,French Revolution,"Causes, key events and impact",9,10,1
H-REV,H-REV-IND,Indian Revolutions,Major uprisings in India,9,10,2
H-WAR,H-WAR-WW1,World War I,"Causes, events and outcomes of World War I",9,10,1
H-WAR,H-WAR-WW2,World War II,"Causes, events and outcomes of World War II",9,10,2
K-ALG,K-ALG-FLC,Flowcharts,Draw flowcharts for simple problems,5,7,1
K-ALG,K-ALG-STR,Algorithm Steps,Define steps to solve simple problems,6,8,2
K-ALG,K-ALG-PBL,Problem Solving,Apply logical thinking to solve problems,7,10,3
K-BAS,K-BAS-IDK,Identify Key Parts,"Identify parts of a computer like CPU, monitor, keyboard",1,2,1
K-BAS,K-BAS-ONF,On/Off Computer,Switch on and off a computer safely,1,2,2
K-BAS,K-BAS-USE,Use Basic Applications,Open and use simple computer programs,2,3,3
K-DBS,K-DBS-TBL,Tables,Create and manage tables in a database,6,8,1
K-DBS,K-DBS-REC,Records,"Insert, update, delete records",6,9,2
K-DBS,K-DBS-QUE,Queries,Write simple queries to retrieve data,7,10,3
K-NET,K-NET-IDN,Identify Network Types,"Understand LAN, WAN and internet",6,8,1
K-NET,K-NET-USE,Use Internet Safely,Browse and use internet applications,6,10,2
K-NET,K-NET-PRT,Protocols,"Understand basic protocols like HTTP, FTP",7,10,3
K-OPS,K-OPS-FIL,File Operations,"Create, save, open, and delete files",3,5,1
K-OPS,K-OPS-MAN,Manage Folders,"Create, rename, move and delete folders",3,5,2
K-OPS,K-OPS-GUI,GUI Components,"Identify GUI elements like windows, icons, menus",4,6,3
K-PRE,K-PRE-CRT,Create Slides,Create new slides with titles and content,4,6,1
K-PRE,K-PRE-FMT,Format Slides,"Apply background, themes, and layouts",4,7,2
K-PRE,K-PRE-INS,Insert Media,"Insert images, audio, and video into slides",5,8,3
K-PRE,K-PRE-ANM,Apply Animations,Apply transitions and animations to slides,5,8,4
K-PRG,K-PRG-VAR,Variables,Understand variables and their use in programs,5,6,1
K-PRG,K-PRG-LOP,Loops,Write simple loop structures,6,7,2
K-PRG,K-PRG-CND,Conditional Statements,Use if-else statements in programs,6,8,3
K-PRG,K-PRG-FNC,Functions,Define and use simple functions,7,10,4
K-SEC,K-SEC-BSC,Basic Security,Understand importance of passwords and safe browsing,6,8,1
K-SEC,K-SEC-THR,Identify Threats,"Recognize malware, phishing, and viruses",6,10,2
K-SEC,K-SEC-PRA,Safe Practices,Follow best practices to protect digital devices,7,10,3
K-SSS,K-SSS-CRT,Create Spreadsheet,Create spreadsheet and enter data,4,6,1
K-SSS,K-SSS-FRM,Use Formulas,"Apply basic formulas like sum, average, count",4,8,2
K-SSS,K-SSS-CHT,Create Charts,"Generate bar, line, and pie charts from data",5,8,3
K-SSS,K-SSS-SRT,Sort Data,Sort rows and columns based on values,5,8,4
K-WDP,K-WDP-CRT,Create Document,Create a new word processing document,3,5,1
K-WDP,K-WDP-EDT,Edit Document,"Edit text, copy, paste and delete content",3,6,2
K-WDP,K-WDP-FMT,Format Document,"Apply fonts, colors, alignment, bullets, numbering",4,7,3
K-WDP,K-WDP-INS,Insert Elements,"Insert images, tables, and hyperlinks",4,7,4
M-ALG,M-ALG-VAR,Identify Variables,Recognize variables in expressions,6,7,1
M-ALG,M-ALG-EXP,Form Expressions,Form algebraic expressions using variables,6,7,2
M-ALG,M-ALG-SIM,Simplify Expressions,Simplify given algebraic expressions,7,8,3
M-ANG,M-ANG-ANG,Identify Angles,"Identify acute, right, obtuse angles",5,6,1
M-ANG,M-ANG-LIN,Angles with Lines,Understand angles formed by parallel lines,6,8,2
M-CIR,M-CIR-PAR,Parts of Circle,"Identify radius, diameter, chord",7,8,1
M-CIR,M-CIR-PRO,Circle Properties,Understand circle properties,8,10,2
M-CON,M-CON-ANG,Construct Angle Bisector,Construct bisector of given angle,6,7,1
M-CON,M-CON-TRI,Construct Triangle,Construct triangle with given sides/angles,7,9,2
M-COO,M-COO-PLT,Plot Points,Plot points on coordinate plane,8,9,1
M-COO,M-COO-DST,Distance Between Points,Calculate distance between points,9,10,2
M-DAT,M-DAT-COL,Collect Data,Collect simple data sets,3,5,1
M-DAT,M-DAT-REP,Data Representation,Draw bar graphs and pictographs,4,7,2
M-DAT,M-DAT-INT,Interpret Data,Read and interpret graphs,6,8,3
M-DEC,M-DEC-PVL,Decimal Place Value,Identify decimal place values,4,5,1
M-DEC,M-DEC-ADD,Add Decimals Same Places,Add decimals with same number of places,5,6,2
M-DEC,M-DEC-SUB,Subtract Decimals Same Places,Subtract decimals with same number of places,5,6,3
M-FRA,M-FRA-IDF,Identify Fractions,Recognize fractional part of a whole,3,4,1
M-FRA,M-FRA-EQF,Equivalent Fractions,Identify fractions equal to given fraction,4,5,2
M-FRA,M-FRA-ADD,Add Fractions Same Denominator,Add fractions with same denominator,5,6,3
M-FRA,M-FRA-SUB,Subtract Fractions Same Denominator,Subtract fractions with same denominator,5,6,4
M-FRA,M-FRA-ADD,Add Fractions Different Denominator,Add fractions with different denominators,6,6,5
M-FRA,M-FRA-SUB,Subtract Fractions Different Denominator,Subtract fractions with different denominators,6,6,6
M-GEO,M-GEO-IDN,Identify 2D Shapes,Identify basic 2D shapes,1,2,1
M-GEO,M-GEO-PRO,Shape Properties,"Identify sides, vertices, and angles",3,5,2
M-LIN,M-LIN-FRM,Form Linear Equation,Form linear equations from word problems,7,8,1
M-LIN,M-LIN-SLV,Solve Linear Equation,Solve one-variable linear equations,8,9,2
M-MEN,M-MEN-PRM,Calculate Perimeter,Find perimeter of given shapes,4,6,1
M-MEN,M-MEN-ARE,Calculate Area,Find area of 2D shapes,5,8,2
M-MEN,M-MEN-VOL,Calculate Volume,Find volume of solids,8,10,3
M-NUM,M-NUM-CT1,Count 1-10,Count numbers from 1 to 10,1,1,1
M-NUM,M-NUM-CT2,Count 11-100,Count numbers from 11 to 100,1,2,2
M-NUM,M-NUM-PVL,Place Value,Identify place value of digits,1,3,3
M-NUM,M-NUM-CMP,Compare Numbers,Compare numbers using symbols,2,4,4
M-NUM,M-NUM-ODD,Odd Numbers,Identify odd numbers,2,3,5
M-NUM,M-NUM-EVN,Even Numbers,Identify even numbers,2,3,6
M-NUM,M-NUM-PRM,Prime Numbers,Identify prime numbers,3,5,7
M-OPS,M-OPS-ADD,Add Single-digit,Add single-digit numbers,1,2,1
M-OPS,M-OPS-ADD,Add Double-digit No carry,Add double-digit numbers without carry,2,3,2
M-OPS,M-OPS-ADC,Add Double-digit With carry,Add double-digit numbers with carry,3,4,3
M-OPS,M-OPS-SUB,Subtract Single-digit,Subtract single-digit numbers,1,2,4
M-OPS,M-OPS-SUB,Subtract Double-digit No borrow,Subtract two-digit numbers without borrowing,2,3,5
M-OPS,M-OPS-SUB,Subtract Double-digit With borrow,Subtract two-digit numbers with borrowing,3,4,6
M-OPS,M-OPS-MUL,Multiply Single-digit,Multiply single-digit numbers,2,3,7
M-OPS,M-OPS-MUL,Multiply Double-digit,Multiply double-digit numbers,3,4,8
M-OPS,M-OPS-DIV,Divide Single-digit,Divide single-digit numbers,3,4,9
M-OPS,M-OPS-DIV,Divide Double-digit,Divide double-digit numbers,4,5,10
M-PER,M-PER-CON,Percentage Concept,Understand meaning of percentage,5,6,1
M-PER,M-PER-CAL,Calculate Percentage,Find percentage of a number,6,7,2
M-POL,M-POL-IDN,Identify Polynomials,Identify polynomial degree and terms,8,9,1
M-POL,M-POL-ADD,Add Polynomials,Add two polynomials,9,10,2
M-POL,M-POL-SUB,Subtract Polynomials,Subtract two polynomials,9,10,3
M-PRO,M-PRO-CON,Probability Concept,Understand probability of events,8,9,1
M-PRO,M-PRO-CAL,Probability Calculation,Calculate probability in simple cases,9,10,2
M-QUA,M-QUA-PRO,Quadrilateral Properties,Identify properties of quadrilaterals,6,8,1
M-RAT,M-RAT-RAT,Ratio Concept,Understand ratio of two quantities,6,7,1
M-RAT,M-RAT-PRO,Proportion Calculation,Solve simple proportion problems,7,8,2
M-STA,M-STA-MEA,Mean Median Mode,"Calculate mean, median and mode",8,10,1
M-STA,M-STA-GRA,Graphical Representation,Draw and interpret line/bar/pie graphs,8,10,2
M-TRI,M-TRI-TYP,Classify Triangles by Sides,"Identify equilateral, isosceles, scalene",6,7,1
M-TRI,M-TRI-ANG,Classify Triangles by Angles,"Identify acute, right, obtuse triangles",6,7,2
M-TRI,M-TRI-PRO,Triangle Properties,Sum of angles and side rules,7,9,3
N-COS,N-COS-NEE,Needs & Wants,Distinguish between needs and wants,6,7,1
N-COS,N-COS-UTI,Utility,Understand utility and satisfaction from consumption,6,8,2
N-COS,N-COS-PAT,Consumption Patterns,Identify patterns of consumption in households,7,8,3
N-DEV,N-DEV-GRO,Economic Growth,Explain economic growth indicators like GDP,8,9,1
N-DEV,N-DEV-IND,Development Indicators,"Understand HDI, literacy rate, life expectancy",8,10,2
N-DEV,N-DEV-CHL,Development Challenges,Identify challenges to economic development,9,10,3
N-MKT,N-MKT-DEM,Demand,Understand law of demand and factors affecting demand,7,9,1
N-MKT,N-MKT-SUP,Supply,Understand law of supply and factors affecting supply,7,9,2
N-MKT,N-MKT-PRC,Price Determination,Explain how prices are determined in markets,8,10,3
N-MON,N-MON-MNY,Role of Money,Understand functions and importance of money,7,8,1
N-MON,N-MON-BNK,Banking System,Learn about banks and their functions,7,9,2
N-MON,N-MON-FIN,Financial Institutions,Identify types of financial institutions,8,10,3
N-PRI,N-PRI-FAC,Factors of Production,"Identify land, labor, capital and entrepreneurship",6,7,1
N-PRI,N-PRI-TYP,Types of Production,"Understand primary, secondary and tertiary production",6,8,2
N-PRI,N-PRI-PRC,Production Process,Describe production processes in industries,7,8,3
P-ELE,P-ELE-CUR,Current Calculation,Calculate electric current in a circuit,7,8,1
P-ELE,P-ELE-VLT,Voltage Calculation,Calculate voltage across circuit elements,7,8,2
P-ELE,P-ELE-RES,Resistance Calculation,Calculate resistance using Ohm's law,7,9,3
P-ELE,P-ELE-SER,Series Circuits,Solve problems for series circuits,8,10,4
P-ELE,P-ELE-PAR,Parallel Circuits,Solve problems for parallel circuits,8,10,5
P-ENE,P-ENE-KEN,Kinetic Energy,Calculate kinetic energy of objects,6,7,1
P-ENE,P-ENE-PEN,Potential Energy,Calculate potential energy,6,7,2
P-ENE,P-ENE-CLP,Energy Conversion,Convert energy from one form to another,7,9,3
P-ENE,P-ENE-LEN,Law of Energy,Apply law of conservation of energy,7,9,4
P-FLU,P-FLU-BUY,Buoyancy,Understand buoyant force and floating objects,7,8,1
P-FLU,P-FLU-ARC,Archimedes Principle,Apply Archimedes principle in problems,7,9,2
P-FLU,P-FLU-DEN,Density Calculation,Calculate density of liquids and solids,7,9,3
P-FOR,P-FOR-IDF,Identify Forces,Recognize different types of forces,6,7,1
P-FOR,P-FOR-ELC,Elastic Force,Understand force in springs and elastic bodies,6,8,2
P-FOR,P-FOR-GRV,Gravitational Force,Understand gravity and its effects,6,8,3
P-FOR,P-FOR-FRI,Friction,Understand types of friction and its effects,7,8,4
P-LIG,P-LIG-RFL,Reflection of Light,Study reflection on plane and curved surfaces,7,8,1
P-LIG,P-LIG-RFR,Refraction of Light,Understand refraction through lenses and prisms,7,9,2
P-LIG,P-LIG-IMG,Image Formation,Form images using mirrors and lenses,8,10,3
P-MAG,P-MAG-IDN,Identify Magnets,Identify types of magnets and poles,7,8,1
P-MAG,P-MAG-FLD,Magnetic Field,Understand magnetic field lines,7,9,2
P-MAG,P-MAG-ELE,Electromagnets,Study electromagnets and applications,8,10,3,
P-MOT,P-MOT-MOT,"Motion","Motion and its characterstics",6,7,1
P-MOT,P-MOT-TRM,"Translational Motion","Translational Motion",6,7,2
P-MOT,P-MOT-REM,"Rectilinear Motion","Rectilinear Motion",6,7,3
P-MOT,P-MOT-CIM,"Circular Motion","Circular Motion",7,8,4
P-MOT,P-MOT-ROM,"Rotational Motion","Rotational Motion",7,8,5,
